"idx","studentIdx","lessonIdx","knew","familiar","excellent","comment","instructor","createdTime"
"2","3","2","[""11""]","[""1"",""2"",""6"",""7"",""3"",""4""]","null",,"CJ","2023-11-20 00:38:55"
"3","2","2","[""4"",""7""]","[""1"",""2"",""3"",""6""]","null","平衡感很好","CJ","2023-11-20 00:38:55"
"6","2","3","[""4"",""13"",""14""]","[""1"",""2"",""3"",""7"",""11"",""12"",""6""]","null","xx","CJ","2023-11-20 00:38:55"
"7","3","3","[""15""]","[""1"",""2"",""6"",""7"",""11"",""3"",""4"",""12"",""13"",""14""]","null",,"CJ","2023-11-20 00:38:55"
"8","2","38","[""7"",""6"",""4"",""3"",""2"",""1"",""5""]","[""19"",""18"",""17"",""16"",""15"",""14"",""13"",""12"",""11""]","null",,"James","2023-11-23 09:27:36"
"9","3","38","[""17"",""18"",""50"",""21""]","[""1"",""2"",""6"",""7"",""11"",""3"",""4"",""12"",""13"",""14"",""15"",""16""]","null",,"James","2023-11-23 09:30:56"
"14","2","10","[""4""]","[""1"",""2"",""3"",""7"",""11"",""12"",""6"",""13"",""14"",""15"",""16"",""17"",""18"",""19""]","null","今天的S turn，滑出了自己的節奏，身體也有放鬆，繼續練習，GoGoGo","CJ","2023-11-20 00:38:55"
"15","3","10","[""17"",""18"",""50"",""21""]","[""1"",""2"",""6"",""7"",""11"",""3"",""4"",""12"",""13"",""14"",""15"",""16""]","null","可以掌握自己前進的方向，利用轉動角度與鋼邊翹高的角度去控制速度，很棒。多習慣切換到前面鋼邊(toe side edge)的時候，把屁股往前推的感覺。","CJ","2023-11-20 00:38:55"
"27","23","20","null","[""1""]","null","不錯喔","CJ","2023-11-20 00:38:55"
"28","23","21","null","[""1"",""2""]","null",,"CJ","2023-11-20 00:38:55"
"54","1","37","null","null","[""2"",""1""]","測試20231020","Admin","2023-11-20 00:38:55"
"61","14","41","null","null","[""1"",""2"",""3"",""4"",""5"",""6"",""7"",""11"",""12"",""13"",""14"",""15"",""16"",""17"",""18"",""19""]","Good.","ko","2023-11-20 00:38:55"
"62","15","41","null","null","null",,"ko","2023-11-20 00:38:55"
"63","24","43","null","null","null",,"cj","2023-11-20 00:38:55"
"68","2","46","[""4""]","[""1"",""2"",""3"",""7"",""11"",""12"",""6"",""13"",""14"",""15"",""16"",""17"",""18"",""19"",""21"",""161"",""162"",""165""]","[""164""]",,"Tong","2023-11-20 00:41:02"
"69","3","46","[""17"",""18"",""50"",""21""]","[""1"",""2"",""6"",""7"",""11"",""3"",""4"",""12"",""13"",""14"",""15"",""16""]","null",,"Tong","2023-11-20 00:41:02"
"70","33","47","[""162"",""164"",""166""]","[""161"",""165"",""167"",""163""]","[""173""]","嘉嘉平衡感很好，膽子也大，滑過滑雪機，到雪場很快上手，希望她有玩得開心，喜歡滑雪。","peiwen","2023-11-21 00:29:06"
"71","34","47","null","[""162"",""164"",""165"",""167"",""166"",""173"",""163""]","[""161""]","媽媽很認真練習！一次有比一次進步，這兩天如果有空有體力，可以多練習緩坡八字刹車，會越來越熟練，加油！","peiwen","2023-11-21 00:29:06"
"72","29","48","[""6""]","[""1"",""3"",""4"",""2""]","null","一點一點進步，短期目標達成！單腳後刃橫滑！只要不放棄，沒有學不會的！很棒！加油！記得下次來滑雪前，養成運動習慣。","peiwen","2023-11-21 00:29:42"
"73","35","48","[""11""]","[""1"",""2"",""3"",""4"",""6"",""7""]","null","平衡感好，學得很快！短時間內就能上手，記得先把速度控制好，上半身穩定，再多加練習今天學的東西，下次就可以上纜車囉！","peiwen","2023-11-21 00:29:42"
"78","61","49","null","null","null",,"jeter","2023-12-02 21:03:01"
"79","39","50","null","[""161"",""162"",""164"",""165"",""167"",""166"",""173"",""163""]","null",,"peiwen","2023-12-04 14:17:10"
"80","63","50","null","[""161"",""162"",""164"",""165"",""167"",""166"",""173"",""163""]","null",,"peiwen","2023-12-04 14:17:10"
"81","64","51","[""4""]","[""1"",""2"",""3""]","null",,"peiwen","2023-12-04 14:19:09"
"82","58","52","null","null","null",,"jeter","2023-12-06 13:51:00"
"83","75","52","null","null","null",,"jeter","2023-12-06 13:51:00"
"84","94","53","[""175"",""176"",""177"",""209""]","[""162"",""170"",""207""]","[""161"",""164"",""165"",""167"",""166"",""173"",""172"",""163"",""168"",""169""]",,"peiwen","2023-12-18 07:59:39"
"85","95","53","[""175"",""209""]","[""170"",""207""]","[""161"",""162"",""164"",""165"",""167"",""166"",""172"",""173"",""163"",""168"",""169""]",,"peiwen","2023-12-18 07:59:39"
"86","106","54","[""4"",""6"",""7""]","[""2"",""3""]","[""1""]",,"peiwen","2023-12-20 08:43:34"
"87","107","54","[""4"",""5"",""11""]","[""1"",""2"",""3"",""6"",""7""]","null",,"peiwen","2023-12-20 08:43:34"
"88","51","55","[""16"",""17"",""21"",""22"",""24"",""23"",""29""]","[""15""]","[""1"",""2"",""3"",""4"",""5"",""6"",""7"",""11"",""12"",""13"",""14""]",,"jeter","2023-12-20 11:03:24"
"89","111","55","[""16"",""21""]","[""2"",""3"",""4"",""5"",""7"",""13"",""14"",""15""]","[""1"",""6"",""11"",""12""]",,"jeter","2023-12-20 11:03:24"
"90","112","56","null","null","[""161"",""162"",""165"",""167"",""166"",""173"",""172"",""175"",""163"",""168"",""169"",""170""]","在轉彎時，保持重心在外板。如果有失速狀況，請記得趕快側倒。以免發生危險","joy","2023-12-21 11:34:44"
"91","113","56","null","null","null",,"joy","2023-12-21 11:34:44"
"92","80","57","[""35"",""42""]","[""34"",""36""]","[""1"",""2"",""3"",""4"",""5"",""6"",""7"",""11"",""12"",""19"",""18"",""17"",""16"",""15"",""14"",""13"",""21"",""22"",""23""]","保持割雪的感覺，多練習何時換刃和踩平雪板，壓雪雪道滑行就會進步更快；沒事就嘗試多滑邊坡，較淺的鬆雪都可以進去玩玩，開始享受不整地的樂趣吧！","james","2023-12-24 23:59:42"
"93","133","58","[""16"",""17"",""18"",""19"",""22"",""5"",""6"",""14"",""15"",""23"",""26""]","[""7"",""21"",""2""]","[""1"",""3"",""4"",""11"",""12"",""13""]",,"always","2023-12-25 02:30:09"
"94","134","58","null","[""2"",""3"",""13"",""14"",""15""]","[""1"",""4"",""5"",""6"",""7"",""11"",""12""]",,"always","2023-12-25 02:30:09"
"95","136","59","[""166"",""168""]","[""161"",""164"",""165"",""167"",""173"",""175"",""163"",""162""]","null","橫向爬坡記得習慣往山上傾","jay","2023-12-25 09:56:44"
"96","137","59","[""162""]","[""161"",""164"",""165"",""167"",""166"",""173"",""175"",""163""]","null","八字煞車重心放低","jay","2023-12-25 09:56:44"
"97","138","59","[""168""]","[""161"",""162"",""164"",""165"",""167"",""166"",""173"",""175"",""163""]","null","掌握度不錯，重心控制得宜。","jay","2023-12-25 09:56:44"
"98","139","59","[""162"",""164"",""165"",""167"",""166"",""173"",""175"",""163""]","[""161""]","null","比較害怕速度，太快會習慣往後倒。","jay","2023-12-25 09:56:44"
"99","140","60","[""19"",""24"",""28"",""29"",""33"",""31"",""34"",""36"",""37"",""38"",""48"",""50""]","[""6"",""7"",""17"",""18"",""21"",""23"",""22""]","[""1"",""3"",""2"",""4"",""5"",""11"",""12"",""13"",""14"",""15"",""16""]",,"jeter","2023-12-25 10:30:58"
"100","157","61","[""176"",""177"",""206"",""207"",""208"",""210"",""209""]","null","[""161"",""162"",""164"",""165"",""167"",""166"",""173"",""172"",""175"",""163"",""168"",""169"",""170""]",,"ethan","2023-12-28 15:55:43"
"101","158","61","null","null","null",,"ethan","2023-12-28 15:55:43"
